question_id,question_text,answer_format
q024,"Using person weights (PWGTP), what is the estimated number of persons living in group quarters? Join persons to household records on SERIALNO and keep persons whose record has TYPEHUGQ equal to 2 (institutional) or 3 (noninstitutional). Sum PWGTP over those persons. Answer format: integer, no separators.",integer
q025,"Among persons living in occupied housing units, what percentage live in owner-occupied units? Join persons to households on SERIALNO. The denominator is the sum of PWGTP over persons whose household has TYPEHUGQ equal to 1 and NP greater than or equal to 1. The numerator is the sum of PWGTP over the subset whose household additionally has TEN equal to 1 or 2 (owned with a mortgage or owned free and clear). Compute 100 * numerator / denominator and round to one decimal place. Answer format: percent1 (a number with one decimal place, no percent sign).",percent1
q026,"Among occupied housing units whose householder is aged 65 or older, what is the WGTP-weighted median household income (HINCP) in ADJINC-adjusted dollars? The householder is the person record with SPORDER equal to 1 for that SERIALNO. The universe is households with TYPEHUGQ equal to 1, NP greater than or equal to 1, and householder AGEP >= 65, weighted by WGTP. The weighted median is the smallest value v such that the cumulative sum of WGTP over universe households with HINCP <= v is at least half of the total WGTP of the universe. Multiply that median by ADJINC / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q027,"What is the WGTP-weighted median gross rent (GRNTP) in ADJHSG-adjusted dollars? The universe is occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1) with a non-blank GRNTP. The weighted median is the smallest value v such that the cumulative sum of WGTP over universe records with GRNTP <= v is at least half of the total WGTP of the universe. Gross rent is adjusted with the housing adjustment factor, not the income one: multiply the median by ADJHSG / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q028,"What is the WGTP-weighted median property value (VALP) in ADJHSG-adjusted dollars among owner-occupied housing units? The universe is occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1) with TEN equal to 1 or 2 (owned with a mortgage or owned free and clear) and a non-blank VALP. The weighted median is the smallest value v such that the cumulative sum of WGTP over universe records with VALP <= v is at least half of the total WGTP of the universe. Multiply the median by ADJHSG / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q029,"Using the 2023 ACS 1-year PUMS Texas person file, what is the PWGTP-weighted median age over all person records? The weighted median is the smallest value v such that the sum of PWGTP over records with AGEP <= v is at least half of the total sum of PWGTP. Answer format: integer, no separators.",integer
q030,"By how much did the PWGTP-weighted total population of Texas grow from the 2023 ACS 1-year PUMS to the 2024 ACS 1-year PUMS? Compute sum(PWGTP) over all person records in the 2024 file minus sum(PWGTP) over all person records in the 2023 file. Answer format: integer, no separators.",integer
q031,"Using the 2023 ACS 1-year PUMS Texas household file, what is the WGTP-weighted median household income (HINCP) in ADJINC-adjusted dollars among occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1)? Use the ADJINC value from the 2023 file — each PUMS release carries its own ADJINC. The weighted median is the smallest value v such that the cumulative sum of WGTP over universe records with HINCP <= v is at least half of the total WGTP of the universe. Multiply that median by the 2023 file's ADJINC / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q032,"By what percentage did the WGTP-weighted median ADJINC-adjusted household income among occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1) change from the 2023 ACS 1-year PUMS to the 2024 ACS 1-year PUMS for Texas? For each year separately: compute the weighted median of HINCP over that year's universe (smallest value v such that cumulative WGTP for HINCP <= v is at least half the universe's total WGTP), then multiply by that year's own ADJINC / 1000000 — do not round these intermediate values. Then compute 100 * (adjusted median 2024 - adjusted median 2023) / adjusted median 2023 and round to one decimal place. Answer format: percent1 (a number with one decimal place, no percent sign; use a leading minus sign if negative).",percent1
q033,"By how much did the WGTP-weighted number of renter-occupied households in Texas change from the 2023 ACS 1-year PUMS to the 2024 ACS 1-year PUMS? For each year, sum WGTP over households with TYPEHUGQ equal to 1, NP greater than or equal to 1, and TEN equal to 3 (rented). Compute the 2024 total minus the 2023 total. Answer format: integer, no separators; use a leading minus sign if negative.",integer
q034,"Using the 2024 files, what is the standard error of the PWGTP-weighted estimate of the number of persons aged 65 or older, computed with the successive difference replication formula from the PUMS Accuracy of the Data documentation? Let X = sum of PWGTP over person records with AGEP >= 65, and let X_r = sum of PWGTP<r> over the same records for each of the 80 replicate weights PWGTP1 through PWGTP80. Then SE = sqrt( (4/80) * sum over r of (X_r - X)^2 ). Replicate weights can be negative; use them exactly as stored. Round to the nearest whole number. Answer format: integer, no separators.",integer
q035,"Using the 2024 files, what is the standard error of the WGTP-weighted estimate of the number of renter-occupied households (TYPEHUGQ equal to 1, NP greater than or equal to 1, TEN equal to 3), computed with the successive difference replication formula? Let X = sum of WGTP over the universe and X_r = sum of WGTP<r> over the same records for each of the 80 replicate weights WGTP1 through WGTP80. Then SE = sqrt( (4/80) * sum over r of (X_r - X)^2 ). Replicate weights can be negative; use them exactly as stored. Round to the nearest whole number. Answer format: integer, no separators.",integer
q036,"Using the 2024 files, what is the standard error of the PWGTP-weighted mean wage or salary income in ADJINC-adjusted dollars among civilian employed persons (ESR equal to 1 or 2), computed with the successive difference replication formula? The full-sample estimate is X = sum(WAGP * ADJINC / 1000000 * PWGTP) / sum(PWGTP) over the universe, and each replicate estimate X_r recomputes the same ratio with PWGTP<r> in place of PWGTP in both numerator and denominator (r = 1..80). Then SE = sqrt( (4/80) * sum over r of (X_r - X)^2 ). Replicate weights can be negative; use them exactly as stored. Round to the nearest whole dollar. Answer format: integer, no separators.",integer
q037,"Using the 2024 files, what is the standard error of the WGTP-weighted median household income (HINCP) in ADJINC-adjusted dollars among occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1), computed with the successive difference replication formula? The full-sample estimate X is the weighted median of HINCP over the universe (smallest value v such that the cumulative sum of WGTP over universe records with HINCP <= v is at least half of the total WGTP of the universe) multiplied by ADJINC / 1000000, without rounding. Each replicate estimate X_r applies the identical median definition with WGTP<r> in place of WGTP (both in the cumulative sums and in the total), then multiplies by ADJINC / 1000000. Then SE = sqrt( (4/80) * sum over r of (X_r - X)^2 ). Replicate weights can be negative; use them exactly as stored. Round the final SE to the nearest whole dollar. Answer format: integer, no separators.",integer
q038,"Using the 2024 files, what is the standard error, in percentage points, of the percentage of persons aged 25 or older holding a bachelor's degree or higher (SCHL greater than or equal to 21), computed with the successive difference replication formula? The full-sample estimate is X = 100 * sum(PWGTP over records with AGEP >= 25 and SCHL >= 21) / sum(PWGTP over records with AGEP >= 25), and each replicate estimate X_r recomputes the same ratio with PWGTP<r> in place of PWGTP in both numerator and denominator (r = 1..80). Then SE = sqrt( (4/80) * sum over r of (X_r - X)^2 ). Replicate weights can be negative; use them exactly as stored. Round to exactly two decimal places. Answer format: decimal2.",decimal2
